                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.59154,                0.59013,                 1.1018,                0.71075,                0.84268,                0.90642,                0.50369,                 1.6042,                0.91292,                 2.3394,             0.00026106,             0.00026106,             0.00026106
                     74,                0.58508,                0.56532,                 1.0985,                0.70702,                0.92851,                0.89404,                0.54157,                  1.579,                0.89868,                 2.2483,             0.00025207,             0.00025207,             0.00025207
                     75,                0.58393,                0.59228,                 1.1009,                0.85511,                0.88576,                0.89571,                0.53202,                 1.6296,                0.78957,                 2.3545,             0.00024307,             0.00024307,             0.00024307
                     76,                0.60033,                0.59522,                 1.1153,                0.65994,                0.89544,                0.86188,                0.50055,                 1.5468,                0.92341,                 2.2061,             0.00023407,             0.00023407,             0.00023407
                     77,                0.56291,                 0.5727,                 1.0865,                0.80535,                0.87513,                0.86388,                0.49448,                 1.5156,                0.84765,                 2.1433,             0.00022507,             0.00022507,             0.00022507
                     78,                0.56277,                0.56874,                 1.0875,                0.90468,                0.85455,                 0.9273,                0.54328,                 1.5244,                0.84747,                 2.1808,             0.00021607,             0.00021607,             0.00021607
                     79,                0.55449,                  0.574,                 1.0841,                0.96369,                0.86094,                0.95483,                0.56009,                 1.5603,                0.85554,                 2.2204,             0.00020707,             0.00020707,             0.00020707
                     80,                0.56397,                0.54832,                 1.0856,                0.86845,                0.87595,                0.94705,                0.56561,                 1.5474,                0.89871,                 2.2245,             0.00019807,             0.00019807,             0.00019807
                     81,                0.54561,                0.53335,                 1.0729,                0.77169,                0.92065,                0.94523,                0.55752,                 1.5773,                0.90114,                 2.2559,             0.00018907,             0.00018907,             0.00018907
                     82,                0.52959,                0.52546,                 1.0586,                 0.7611,                0.90893,                0.94299,                0.56725,                 1.6055,                 0.9867,                 2.2941,             0.00018007,             0.00018007,             0.00018007
                     83,                0.53118,                0.53331,                 1.0617,                0.67183,                0.89667,                0.81323,                0.44333,                 1.5678,                0.93659,                 2.2304,             0.00017107,             0.00017107,             0.00017107
                     84,                0.51304,                0.50622,                 1.0487,                0.91854,                0.72585,                 0.8816,                0.51521,                 1.5633,                 0.9219,                 2.3165,             0.00016207,             0.00016207,             0.00016207
                     85,                0.51353,                0.48881,                 1.0537,                0.95229,                0.70535,                0.89093,                0.54301,                 1.5575,                 0.9747,                  2.299,             0.00015308,             0.00015308,             0.00015308
                     86,                0.51518,                0.50083,                 1.0627,                0.87793,                0.74603,                0.88799,                0.53301,                  1.503,                0.89876,                 2.2014,             0.00014408,             0.00014408,             0.00014408
                     87,                0.51768,                0.48309,                 1.0579,                0.95863,                0.71593,                 0.9654,                 0.5705,                 1.5467,                0.87703,                 2.2188,             0.00013508,             0.00013508,             0.00013508
                     88,                0.51026,                0.50709,                 1.0658,                0.73665,                0.92446,                0.95662,                0.52631,                 1.6174,                0.87169,                 2.3538,             0.00012608,             0.00012608,             0.00012608
                     89,                0.50276,                0.47671,                 1.0533,                 0.7117,                0.89615,                0.87543,                 0.4701,                 1.6366,                0.92293,                 2.3909,             0.00011708,             0.00011708,             0.00011708
                     90,                0.51111,                0.48285,                 1.0379,                0.76163,                0.91413,                0.95424,                0.54793,                 1.5594,                0.90821,                  2.337,             0.00010808,             0.00010808,             0.00010808
                     91,                0.47638,                0.42934,                 1.0901,                0.74507,                0.88336,                0.94389,                0.51066,                 1.6719,                0.96197,                 2.4728,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                  0.432,                 0.3785,                 1.0481,                0.80338,                0.88605,                0.95582,                 0.5525,                 1.6677,                0.96517,                 2.5245,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.39912,                0.33041,                 1.0192,                 0.7995,                0.89369,                0.94594,                0.52666,                 1.7218,                0.97418,                 2.5663,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.38918,                0.30918,                 1.0193,                0.79276,                0.89985,                0.93568,                0.53334,                 1.6452,                0.87325,                 2.4739,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.37714,                0.30905,                0.99572,                0.75243,                0.91148,                0.96515,                0.54621,                 1.6207,                 0.8855,                 2.4945,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.36209,                0.30852,                0.99681,                 0.7742,                0.88305,                0.94295,                0.51758,                 1.6414,                0.91887,                 2.4915,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.35327,                0.29123,                0.97321,                0.76911,                0.87369,                0.91816,                0.49803,                 1.6367,                0.98898,                 2.4975,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.34461,                0.29389,                0.97738,                0.77707,                0.88573,                0.90807,                0.49284,                 1.6451,                 1.0316,                 2.5208,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.32495,                0.27328,                0.96764,                0.74212,                0.89133,                0.94251,                0.50554,                 1.6452,                0.99543,                 2.5276,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.34803,                0.28653,                0.96504,                0.74495,                0.89483,                0.94399,                 0.5089,                 1.6257,                0.97469,                 2.5002,             1.8089e-05,             1.8089e-05,             1.8089e-05
